Country,Operator,Band,freqStart,freqEnd
Botswana,Mascom,1800,1710.2,1719.8
Botswana,Mascom,1800,1805.2,1814.8
Botswana,Orange,1800,1720.6,1730.6
Botswana,Orange,1800,1815.6,1825.6
Botswana,BeMobile,1800,1730.6,1738.6
Botswana,BeMobile,1800,1825.6,1833.6
Burkina Faso,Onatel,1800,1710.2,1727.8
Burkina Faso,Onatel,1800,1805.2,1823.7
Burkina Faso,Orange,1800,1727.8,1747.3
Burkina Faso,Orange,1800,1823.7,1842.3
Burkina Faso,Telecel,1800,1747.3,1765.8
Burkina Faso,Telecel,1800,1842.3,1860.8
Ghana,Airtel,1800,1710,1725
Ghana,Airtel,1800,1805,1820
Ghana,Glo,1800,1755,1770
Ghana,Glo,1800,1850,1865
Ghana,MTN,1800,1725,1735
Ghana,MTN,1800,1820,1830
Ghana,Tigo,1800,1745,1755
Ghana,Tigo,1800,1840,1850
Ghana,Vodafone,1800,1735,1745
Ghana,Vodafone,1800,1830,1840
Mozambique,mcel,1800,1710,1718
Mozambique,mcel,1800,1805,1813
Mozambique,Movitel,1800,1718.2,1726.2
Mozambique,Movitel,1800,1813.2,1821.2
Mozambique,Vodacom,1800,1726.4,1734.4
Mozambique,Vodacom,1800,1822,1830
Nigeria,ntel,1800,1805,1820
Nigeria,ntel,1800,1710,1725
Nigeria,Glo,1800,1820,1835
Nigeria,Glo,1800,1725,1740
Nigeria,MTN,1800,1835,1850
Nigeria,MTN,1800,1740,1755
Nigeria,Airtel,1800,1850,1865
Nigeria,Airtel,1800,1755,1770
Nigeria,Etisalat,1800,1865,1880
Nigeria,Etisalat,1800,1770,1785
Tanzania,Zantel,1800,1710,1720
Tanzania,Tigo,1800,1720,1732.5
Tanzania,Vodacom,1800,1732.5,1745
Tanzania,BOL,1800,1745,1750
Tanzania,Airtel,1800,1750,1760
Tanzania,Hits Telecom,1800,1760,1770
Tanzania,Halotel,1800,1770,1780
Tanzania,BOL,1800,1780,1785
Tanzania,Zantel,1800,1805,1815
Tanzania,Tigo,1800,1815,1827.5
Tanzania,Vodacom,1800,1827.5,1840
Tanzania,BOL,1800,1840,1845
Tanzania,Airtel,1800,1845,1855
Tanzania,Hits Telecom,1800,1855,1865
Tanzania,Halotel,1800,1865,1875
Tanzania,BOL,1800,1875,1880
Uganda,UTL,1800,1716.2,1726.2
Uganda,UTL,1800,1811.2,1821.2
Uganda,Airtel,1800,1773.2,1785
Uganda,Airtel,1800,1868.2,1880
Uganda,MTN,1800,1761.2,1773
Uganda,MTN,1800,1856.2,1868
Uganda,Africell,1800,1836,1846
Uganda,Africell,1800,1741,1751
Uganda,WARID,1800,1731,1741
Uganda,WARID,1800,1826,1836
Namibia,MTC,1800,1710,1745.2
Namibia,Telecom Namibia,1800,1745.2,1765
Namibia,Paratus,1800,1765,1785
Namibia,MTC,1800,1805,1840.2
Namibia,Telecom Namibia,1800,1840.2,1860
Namibia,Paratus,1800,1860,1880
