ID,Country,ISO,Operator,Operator_ID,Band,Type
1,Botswana,bw,BeMobile,4,900,FDD
2,Botswana,bw,Government,53,900,FDD
3,Botswana,bw,Mascom,5,900,FDD
4,Botswana,bw,Orange,6,900,FDD
5,Botswana,bw,BeMobile,4,1800,FDD
6,Botswana,bw,Mascom,5,1800,FDD
7,Botswana,bw,Orange,6,1800,FDD
8,Botswana,bw,Orange,6,2100,FDD
9,Burkina Faso,bf,Onatel,1,900,FDD
10,Burkina Faso,bf,Orange,2,900,FDD
11,Burkina Faso,bf,Telecel,3,900,FDD
12,Burkina Faso,bf,Onatel,1,1800,FDD
13,Burkina Faso,bf,Orange,2,1800,FDD
14,Burkina Faso,bf,Telecel,3,1800,FDD
15,Cameroon,cm,Camtel,7,900,FDD
16,Cameroon,cm,MTN,8,900,FDD
17,Cameroon,cm,neXttel,9,900,FDD
18,Cameroon,cm,Orange,10,900,FDD
19,Cameroon,cm,MTN,8,1800,FDD
20,Cameroon,cm,neXttel,9,1800,FDD
21,Cameroon,cm,Orange,10,1800,FDD
22,Egypt,eg,Etisalat,11,900,FDD
23,Egypt,eg,Orange,12,900,FDD
24,Egypt,eg,Vodafone,13,900,FDD
25,Egypt,eg,Etisalat,11,1800,FDD
26,Egypt,eg,Orange,12,1800,FDD
27,Egypt,eg,Telecom Egypt,14,1800,FDD
28,Egypt,eg,Vodafone,13,1800,FDD
29,Egypt,eg,Etisalat,11,2100,FDD
30,Egypt,eg,Orange,12,2100,FDD
31,Egypt,eg,Vodafone,13,2100,FDD
32,Ghana,gh,Airtel,15,900,FDD
33,Ghana,gh,Glo,16,900,FDD
34,Ghana,gh,MTN,17,900,FDD
35,Ghana,gh,Tigo,18,900,FDD
36,Ghana,gh,Vodafone,19,900,FDD
37,Ghana,gh,Airtel,15,1800,FDD
38,Ghana,gh,Glo,16,1800,FDD
39,Ghana,gh,MTN,17,1800,FDD
40,Ghana,gh,Tigo,18,1800,FDD
41,Ghana,gh,Vodafone,19,1800,FDD
42,Ghana,gh,Airtel,15,2100,FDD
43,Ghana,gh,Glo,16,2100,FDD
44,Ghana,gh,MTN,17,2100,FDD
45,Ghana,gh,Tigo,18,2100,FDD
46,Ghana,gh,Vodafone,19,2100,FDD
47,Kenya,ke,Airtel,26,900,FDD
48,Kenya,ke,Safaricom,24,900,FDD
49,Kenya,ke,Telkom Kenya,25,900,FDD
50,Kenya,ke,Yu,54,900,FDD
51,Morocco,ma,Inwi,52,2600,FDD
52,Morocco,ma,Maroc Telecom,51,2600,FDD
53,Morocco,ma,Orange,50,2600,FDD
54,Mozambique,mz,Mcel,20,900,FDD
55,Mozambique,mz,Movitel,21,900,FDD
56,Mozambique,mz,Vodacom,22,900,FDD
57,Mozambique,mz,mcel,20,1800,FDD
58,Mozambique,mz,Movitel,21,1800,FDD
59,Mozambique,mz,Vodacom,22,1800,FDD
60,Mozambique,mz,Mcel,20,2100,FDD
61,Mozambique,mz,Movitel,21,2100,FDD
62,Mozambique,mz,Vodacom,22,2100,FDD
63,Namibia,na,MTC,27,900,FDD
64,Namibia,na,Telecom Namibia,28,900,FDD
65,Namibia,na,MTC,27,1800,FDD
66,Namibia,na,Paratus,42,1800,FDD
67,Namibia,na,Telecom Namibia,28,1800,FDD
68,Namibia,na,MTC,27,2100,FDD
69,Namibia,na,Paratus,42,2100,FDD
70,Namibia,na,Telecom Namibia,28,2100,FDD
71,Namibia,na,Paratus,42,2600,FDD
72,Namibia,na,Telecom Namibia,28,2600,FDD
