Country,Operator,Band,freqStart,freqEnd
Uganda,UTL,900,880,885
Uganda,UTL,900,925,930
Uganda,WARID,900,885,890
Uganda,WARID,900,930,935
Uganda,Airtel,900,890.2,898.0
Uganda,Airtel,900,935.2,943.0
Uganda,Africell,900,898.2,903.2
Uganda,Africell,900,943.2,948.2
Uganda,iTEL,900,903.2,906.4
Uganda,iTEL,900,948.2,951.4
Uganda,MTN,900,906.6,914.8
Uganda,MTN,900,951.6,959.8
Botswana,BeMobile,900,906.6,910.6
Botswana,BeMobile,900,951.6,955.6
Botswana,Government,900,911,914.8
Botswana,Government,900,956,959.8
Botswana,Mascom,900,890.2,898.2
Botswana,Mascom,900,935,943
Botswana,Orange,900,898.4,906.2
Botswana,Orange,900,943.4,951.2
Burkina Faso,Onatel,900,890.2,898.3
Burkina Faso,Onatel,900,935.2,943.3
Burkina Faso,Orange,900,898.3,906.6
Burkina Faso,Orange,900,943.3,951.6
Burkina Faso,Telecel,900,906.6,914.8
Burkina Faso,Telecel,900,951.6,959.8
Egypt,Etisalat,900,902.5,915
Egypt,Etisalat,900,947.5,960
Egypt,Orange,900,890,902.5
Egypt,Orange,900,935,947.5
Egypt,Vodafone,900,880,890
Egypt,Vodafone,900,925,935
Ghana,Airtel,900,885,890
Ghana,Airtel,900,930,935
Ghana,Glo,900,880,885
Ghana,Glo,900,925,930
Ghana,MTN,900,907,915
Ghana,MTN,900,952,960
Ghana,Tigo,900,890,898
Ghana,Tigo,900,935,943
Ghana,Vodafone,900,898,907
Ghana,Vodafone,900,943,952
Kenya,Airtel,900,905,915
Kenya,Airtel,900,950,960
Kenya,Orange,900,880,882.5
Kenya,Orange,900,900,905
Kenya,Orange,900,925,927.5
Kenya,Orange,900,945,950
Kenya,Safaricom,900,890,900
Kenya,Safaricom,900,935,945
Kenya,Yu,900,882.5,890
Kenya,Yu,900,927.5,935
Namibia,MTC,900,890,903
Namibia,MTC,900,935,948
Namibia,Telecom Namibia,900,905,915
Namibia,Telecom Namibia,900,950,960
South Africa,CellC,900,880.1,889.9
South Africa,CellC,900,903.7,905.9
South Africa,CellC,900,925.1,934.9
South Africa,CellC,900,948.7,950.9
South Africa,MTN,900,901.3,903.7
South Africa,MTN,900,905.9,914.7
South Africa,MTN,900,946.3,948.7
South Africa,MTN,900,950.9,959.7
South Africa,Vodacom,900,889.9,901.3
South Africa,Vodacom,900,934.9,946.3
Cameroon,Orange,900,906.8,915
Cameroon,Orange,900,951.8,960
Cameroon,MTN,900,890.1,898.5
Cameroon,MTN,900,935.1,943.5
Cameroon,neXttel,900,898.5,906.8
Cameroon,neXttel,900,943.5,951.8
Cameroon,Camtel,900,880,890.1
Cameroon,Camtel,900,925,935.1
Mozambique,Vodacom,900,890,898
Mozambique,Vodacom,900,935,943
Mozambique,Movitel,900,898.6,906.6
Mozambique,Movitel,900,943.6,951.6
Mozambique,Mcel,900,907,915
Mozambique,Mcel,900,952,960Country,Operator,Band,freqStart,freqEnd
Botswana,Mascom,1800,1710.2,1719.8
Botswana,Mascom,1800,1805.2,1814.8
Botswana,Orange,1800,1720.6,1730.6
Botswana,Orange,1800,1815.6,1825.6
Botswana,BeMobile,1800,1730.6,1738.6
Botswana,BeMobile,1800,1825.6,1833.6
Burkina Faso,Onatel,1800,1710.2,1727.8
Burkina Faso,Onatel,1800,1805.2,1823.7
Burkina Faso,Orange,1800,1727.8,1747.3
Burkina Faso,Orange,1800,1823.7,1842.3
Burkina Faso,Telecel,1800,1747.3,1765.8
Burkina Faso,Telecel,1800,1842.3,1860.8
Ghana,Airtel,1800,1710,1725
Ghana,Airtel,1800,1805,1820
Ghana,Glo,1800,1755,1770
Ghana,Glo,1800,1850,1865
Ghana,MTN,1800,1725,1735
Ghana,MTN,1800,1820,1830
Ghana,Tigo,1800,1745,1755
Ghana,Tigo,1800,1840,1850
Ghana,Vodafone,1800,1735,1745
Ghana,Vodafone,1800,1830,1840
Mozambique,mcel,1800,1710,1718
Mozambique,mcel,1800,1805,1813
Mozambique,Movitel,1800,1718.2,1726.2
Mozambique,Movitel,1800,1813.2,1821.2
Mozambique,Vodacom,1800,1726.4,1734.4
Mozambique,Vodacom,1800,1822,1830
Nigeria,ntel,1800,1805,1820
Nigeria,ntel,1800,1710,1725
Nigeria,Glo,1800,1820,1835
Nigeria,Glo,1800,1725,1740
Nigeria,MTN,1800,1835,1850
Nigeria,MTN,1800,1740,1755
Nigeria,Airtel,1800,1850,1865
Nigeria,Airtel,1800,1755,1770
Nigeria,Etisalat,1800,1865,1880
Nigeria,Etisalat,1800,1770,1785
Tanzania,Zantel,1800,1710,1720
Tanzania,Tigo,1800,1720,1732.5
Tanzania,Vodacom,1800,1732.5,1745
Tanzania,BOL,1800,1745,1750
Tanzania,Airtel,1800,1750,1760
Tanzania,Hits Telecom,1800,1760,1770
Tanzania,Halotel,1800,1770,1780
Tanzania,BOL,1800,1780,1785
Tanzania,Zantel,1800,1805,1815
Tanzania,Tigo,1800,1815,1827.5
Tanzania,Vodacom,1800,1827.5,1840
Tanzania,BOL,1800,1840,1845
Tanzania,Airtel,1800,1845,1855
Tanzania,Hits Telecom,1800,1855,1865
Tanzania,Halotel,1800,1865,1875
Tanzania,BOL,1800,1875,1880
Uganda,UTL,1800,1716.2,1726.2
Uganda,UTL,1800,1811.2,1821.2
Uganda,Airtel,1800,1773.2,1785
Uganda,Airtel,1800,1868.2,1880
Uganda,MTN,1800,1761.2,1773
Uganda,MTN,1800,1856.2,1868
Uganda,Africell,1800,1836,1846
Uganda,Africell,1800,1741,1751
Uganda,WARID,1800,1731,1741
Uganda,WARID,1800,1826,1836
Namibia,MTC,1800,1710,1745.2
Namibia,Telecom Namibia,1800,1745.2,1765
Namibia,Paratus,1800,1765,1785
Namibia,MTC,1800,1805,1840.2
Namibia,Telecom Namibia,1800,1840.2,1860
Namibia,Paratus,1800,1860,1880
Cameroon,Orange,1800,1710.2,1722
Cameroon,Orange,1800,1805.2,1817
Cameroon,MTN,1800,1760.1,1768
Cameroon,MTN,1800,1855.1,1863
Cameroon,neXttel,1800,1735,1760.1
Cameroon,neXttel,1800,1830,1855.1
Mozambique,Vodacom,1800,1726.4,1734.4
Mozambique,Vodacom,1800,1822,1830
Mozambique,Movitel,1800,1718.2,1726.2
Mozambique,Movitel,1800,1813.2,1821.2
Mozambique,Mcel,1800,1710,1718
Mozambique,Mcel,1800,1805,1813
Country,Operator,Band,freqStart,freqEnd
Botswana,Orange,2100,1935,1950
Botswana,Orange,2100,1955,1965
Botswana,Orange,2100,2125,2140
Botswana,Orange,2100,2145,2155
Ghana,MTN,2100,1970,1980
Ghana,MTN,2100,2160,2170
Ghana,Vodafone,2100,1920,1935
Ghana,Vodafone,2100,2110,2125
Ghana,Tigo,2100,1955,1970
Ghana,Tigo,2100,2145,2160
Ghana,Airtel,2100,1935,1945
Ghana,Airtel,2100,2125,2135
Ghana,Glo,2100,1945,1955
Ghana,Glo,2100,2135,2145
Namibia,MTC,2100,1920,1935
Namibia,MTC,2100,2110,2125
Namibia,Telecom Namibia,2100,1940,1960
Namibia,Telecom Namibia,2100,2130,2150
Namibia,Paratus,2100,1965,1970
Namibia,Paratus,2100,1975,1980
Namibia,Paratus,2100,2155,2160
Namibia,Paratus,2100,2165,2170
Nigeria,MTN,2100,1920,1930
Nigeria,MTN,2100,2110,2120
Nigeria,Glo,2100,1930,1940
Nigeria,Glo,2100,2120,2130
Nigeria,Etisalat,2100,1940,1950
Nigeria,Etisalat,2100,2130,2140
Nigeria,Airtel,2100,1950,1960
Nigeria,Airtel,2100,2140,2150
South Africa,Vodacom,2100,1920,1935
South Africa,Vodacom,2100,2110,2125
South Africa,MTN,2100,1950,1965
