ID,Investment_ID,Owner_ID,SharePercent,Type
1,25,1,60.0,
2,25,2,40.0,
3,28,3,100.0,
4,29,4,65.0,
5,29,5,13.91,
6,24,4,40.0,
7,24,2,35.0,
8,7,6,100.0,
9,8,7,70.0,
10,38,7,78.83,
11,17,7,98.0,
12,33,7,96.0,
13,19,4,70.0,
14,10,8,94.4,
15,6,8,73.68,
16,12,8,93.92,
17,11,9,66.0,
18,41,9,40.0,
19,1,9,51.0,
20,36,10,100.0,
21,15,10,75.0,
22,26,10,95.0,
23,40,10,79.06,
24,47,10,60.0,
25,44,11,100.0,
26,18,11,100.0,
27,58,7,60.0,
28,59,8,100.0,
29,64,12,65.0,
30,64,13,45.0,
31,65,14,90.0,
32,65,12,10.0,
33,66,15,51.0,
34,66,8,49.0,
35,67,17,80.0,
36,68,18,70.0,
37,68,16,30.0,
38,67,16,20.0,
39,71,4,51.0,""
40,72,8,100.0,""
41,78,7,80.0,""
42,78,20,20.0,""
43,49,21,100.0,""
